index,linkPoster,name,role,time,content,content_img,react_list,comment
1,No link,Người tham gia ẩn danh,Thành viên,54 phút,"Ước gì có người yêu chở mình dạo qua đường Nguyễn Văn Linh vào buổi tối, lúc thành phố lên đèn, không khí mát mẻ và thoáng đãng. Đi qua những góc đông vui, nơi các bạn trẻ tụ họp bán hộp mù BabyThree, mình sẽ cùng người ấy chọn vài hộp, vừa hồi hộp vừa háo hức. Giữa ánh đèn lung linh của đêm, cảm giác cầm hộp nhỏ trên tay và mở ra thật thú vị. Liệu lần này có may mắn trúng được SECRET – nhân vật hiếm hoi đầy bí ẩn – mà ai cũng mong muốn không? Chỉ nghĩ đến khoảnh khắc ấy thôi đã thấy tim rộn ràng",No picture,"{'Thích': '2', 'Yêu thích': '2', 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
2,No link,Người tham gia ẩn danh,Thành viên,1 giờ,Cho e hỏi việc nộp tiền BHYT mình chuyển tiền trong tài khoản r đến ngày nó tự trừ hay phải chuyển vào tài khoản ngân hàng của trường ạ,No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
3,No link,Người tham gia ẩn danh,Thành viên,1 giờ,"bên tin của e có ghi là thầy Mỹ dạy nhma e muốn đki tin thầy Hải thì đki đc ko ạ, e năm nhất ko biết mấy này ạ, e cảm ơn",No picture,"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
4,No link,Người tham gia ẩn danh,Thành viên,2 giờ,"Trời lại mưa rồi, những hạt mưa rơi lạnh buốt và con đường thì ướt sũng. Lúc này, mình chỉ mong có người mang ô đến đón. Nhưng không phải là đưa ô rồi đi xe máy đâu, vì mưa gió thế này, cảm giác ngồi sau xe máy run lên vì lạnh. Mình thầm ước người ấy đến bằng ô tô, nhẹ nhàng mở cửa xe, nụ cười ấm áp mời mình vào để cùng tránh khỏi cái lạnh bên ngoài. Một sự quan tâm chu đáo như thế thật khiến lòng người ấm áp hơn biết bao nhiêu.",No picture,"{'Thích': '9', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '16', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Quang Vũ', 'content': 'Bị ảo tưởng :))'}, {'name': 'Hồng Linhh', 'content': 'Đặt grap car là được á mà=))'}, {'name': 'Diệu Huỳnh', 'content': 'đọc bao nhiêu truyện r??! :(((((('}, {'name': 'Minh Thịnh', 'content': '... kịch bản ấy đẹp, nhưng chưa chắc nó sẽ thành hiện thực=))'}, {'name': 'An Phuc', 'content': 'Vy Dang t kêu th r mà đăng cho được hà m'}, {'name': 'Vy Dang', 'content': 'An Phuc biết rứa khỏi đăng đi học bằng cho r'}, {'name': 'Mai Lê Thúy', 'content': 'Nguyễn Thu Huyền Minh Ngọc nói cho nhau nghe thui sao lại đăng lên đây'}, {'name': 'Nguyễn Thu Huyền', 'content': 'Mai Lê Thúy tâm tư'}, {'name': 'Mai Lê Thúy', 'content': 'Nguyễn Thu Huyền e nói rồi, xem ít phim tổng tài lại'}, {'name': 'Nguyễn Lực', 'content': 'xe chở lợn dc k b ơi'}, {'name': 'Quốc Đạt', 'content': 'Đọc truyện tổng tài bá đạo nhìu quá r đấy'}, {'name': 'Nguyễn Chiến', 'content': 'mưa mát giời nên bạn ngủ quên à. tỉnh dậy đi bạn ơi, ko có ô tồ mà cũng ko có cái ô nhân đạo nào đến đón đâu. đầy mưa đi để biết thế nào gọi là sự cảm lạnh rồi tự mua thuốc uống nha. đời là thế đó'}, {'name': 'Huy Lee', 'content': 'Chắc vì áp lực học hành nên muốn có chồng sớm ý mà'}]"
5,No link,Người tham gia ẩn danh,Thành viên,2 giờ,"Mình đang phân vân có nên tiếp tục yêu một chàng trai nhỏ tuổi hơn, hay giận dỗi vô cớ, hứa lèo, trẻ con, quà cáp thì không tặng mà chỉ hứa hẹn tương lai. Bố mẹ ở quê vất vả, mong mình tìm được người biết chăm sóc, yêu thương. Liệu mình có nên tiếp tục với mối quan hệ này không khi sắp ra trường với nhiều khó khăn phía trước?",No picture,"{'Thích': '3', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '1', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Trung Tuan', 'content': 'Có cái hứa lèo là thấy nên cho cook r'}]"
6,No link,Người tham gia ẩn danh,Thành viên,2 giờ,"Em chào a.c ạ
a.c cho e xin kinh nghiệm đăng ký tín chỉ học kỳ 2 ngành giáo dục tiểu học với, e sinh viên năm nhất ạ
Help me @all",No picture,"{'Thích': '2', 'Yêu thích': '1', 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'NT Thanh Hiền', 'content': 'ý lập tkb sẵn, quan trọng mấy cái mã lớp học pần, đến giờ vào chọn mã lớp nầy'}, {'name': 'Người tham gia ẩn danh 998', 'content': 'NT Thanh Hiền đến giờ là nó hiện lên nnao á c'}, {'name': 'NT Thanh Hiền', 'content': 'Người tham gia ẩn danh 998 click vào môn mình đk nó hiện 1 loạt mã vd như 24-0206, 24-0202 ( mấy mã này tương ứng GV dạy mình đó, trong tkb dự kiến có nè)'}, {'name': 'Trương Công Huy', 'content': '1 câu thôi: khốc liệt hơn thi đại học'}, {'name': 'Trần Thị Minh', 'content': '..'}]"
7,No link,Người tham gia ẩn danh,Thành viên,2 giờ,"Ngày 20-11 sắp đến, là sinh viên sư phạm, mình cũng băn khoăn không biết liệu người yêu có tặng quà cho mình không. Anh ấy thường dẫn đi ngắm biển, đi chùa, nên cảm thấy anh ấy luôn quan tâm và trân trọng mình. Dù có quà hay không, những khoảnh khắc bên nhau đã đủ ý nghĩa rồi. Nhưng dẫu vậy, vẫn có chút mong chờ bất ngờ nho nhỏ trong ngày đặc biệt này.",No picture,"{'Thích': '11', 'Yêu thích': '2', 'Thương thương': 0, 'Haha': '24', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Cao Huy Hoàng', 'content': 'Ý là đang nhắc khéo'}, {'name': 'Hạ Lan', 'content': 'Cao Huy Hoàng này nhắc thẳng mà đâu phải khéo'}, {'name': 'Cao Huy Hoàng', 'content': 'Hạ Lan thẳng thì đâu cần ẩn danh'}, {'name': 'Xuân Trường', 'content': 'Cao Huy Hoàng +1'}, {'name': 'Nguyễn Tien', 'content': 'Nhắc khéo =))'}, {'name': 'Quốc Vũ', 'content': 'Gặp đi chạy với đi bụi như mình nữa thì'}]"
1,No link,Người tham gia ẩn danh,Thành viên,2 giờ,Cho em hỏi gdmn thì nên đăng kí học thầy cô nào dễ ạ,No picture,"{'Thích': '1', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
2,No link,Người tham gia ẩn danh,Thành viên,2 giờ,"Cho em hỏi trước em có đăng kí kế hoạch học tập trên web rồi nhưng em lỡ xoá mất 1 môn học, vậy thì lúc đăng ký tín chỉ mình đăng kí lại môn đó được không ạ? Nếu không thì ac chỉ e cách để đki vớii",No picture,"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
1,No link,Người tham gia ẩn danh,Thành viên,49 phút,"Em chào a/c ạ
a/c cho e xin ít kinh nghiệm đăng ký tín chỉ học kỳ 2 ngành giáo dục tiểu học với , e sinh viên năm nhất ạ
Help me",No picture,"{'Thích': '2', 'Yêu thích': 0, 'Thương thương': 0, 'Haha': 0, 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}",No comment
2,No link,Người tham gia ẩn danh,Thành viên,1 giờ,"nghiêm túc ah E năm 2 đại học, hiện tại gia đình khó khăn không đủ xiên để chi trả học phí, em chưa muốn bỏ học, e đi xin việc nhưng ngta k nhận vì ng nhỏ, 1 tờ 1h thôi ạ. e đang cần gấp lên h gặp luôn cg dc ạ, em dùng tele gram lên ai quan tâm thì nt qua đó ạ tele: @Thuyha2000
mong ad duyệt bài",{0: 'https://scontent.fdad3-5.fna.fbcdn.net/v/t39.30808-6/467343019_887603803440526_305268837568949708_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=aa7b47&_nc_eui2=AeERmRhRdQWNGxnjBogLnbxCJ6VIbv8_oconpUhu_z-hyrm__JOyUzfCDAtWqVKRgmrq6lZz8xneYHq26UzBNRQQ&_nc_ohc=itOaO582hmEQ7kNvgE01iqP&_nc_zt=23&_nc_ht=scontent.fdad3-5.fna&_nc_gid=A1K3yNWs7h81GO1hglocXoY&oh=00_AYCeof5WuBKol_TLfs0hvZj8oJbohU8AW0RpwgzO2t69-g&oe=673FB46D'},"{'Thích': 0, 'Yêu thích': 0, 'Thương thương': 0, 'Haha': '8', 'Wow': 0, 'Buồn': 0, 'Phẫn nộ': 0}","[{'name': 'Mạch Thị Lan Anh', 'content': 'Rose Nguyen giống my thế'}, {'name': 'Rose Nguyen', 'content': 'Mạch Thị Lan Anh nhìn cũng hơi hơi giống nhờ'}, {'name': 'Mạch Thị Lan Anh', 'content': 'Rose Nguyen lướt thấy phát giật cả mình'}]"
